Title,Author,Year,Category,Description,Image
El Diario de Anna Frank ,Anna Frank ,1947,Autobiografía,El Diario de Anna Frank – Testimonio íntimo de una adolescente escondida durante la Segunda Guerra Mundial.,https://puntolectura.com/cdn/shop/files/WhatsApp_Image_2025-03-22_at_2.32.28_PM_3.jpg?v=1742684433
Orgullo y Prejuicio ,Jane Austen,1813,Drama y Romance,Orgullo y Prejuicio – Romance y crítica social mientras Elizabeth Bennet enfrenta prejuicios y malentendidos.,https://www.elejandria.com/covers/Orgullo_y_prejuicio-Jane_Austen-lg.png
Mujercitas ,Louise May Alcott ,1868,Drama y Romance,"Mujercitas – Cuatro hermanas descubren amor, familia y sueños en tiempos difíciles.",https://img.perlego.com/book-covers/2993777/9788427217935.jpg
La Divina Comedia ,Dante Alighieri ,1321,Epopeya,"La Divina Comedia – Viaje espiritual por infierno, purgatorio y paraíso en busca de redención.",https://images.cdn3.buscalibre.com/fit-in/360x360/9e/83/9e8354f1b7f684c889b4853adbdb3cae.jpg
La Prueba del Ángel  ,Anne Rice ,2010,Fantasía,"La Prueba del Ángel – Joven descubre poderes angelicales mientras enfrenta secretos, destino y oscuridad.",https://images.cdn2.buscalibre.com/fit-in/360x360/f8/ee/f8eee496f387be680a8277fdce1331d4.jpg
Harry Potter y la Piedra Filosofal ,J.K. Rowling ,1997,Fantasía,"Harry Potter y la Piedra Filosofal – Niño descubre magia, amistad y destino enfrentando fuerzas oscuras.","https://m.media-amazon.com/images/I/61mEUsasD-L._AC_UF1000,1000_QL80_.jpg"
"Harry Potter y la Cámara Secreta ",J.K. Rowling ,1998,Fantasía,Harry Potter y la Cámara Secreta – Misterio mortal amenaza Hogwarts mientras Harry enfrenta un enemigo oculto.,https://www.llardelllibre.cat/es/imagenes/9788418/978841817312.JPG
Harry Potter y el Prisionero de Azkaban ,J.K. Rowling ,1999,Fantasía,Harry Potter y el Prisionero de Azkaban – Fugitivo peligroso vinculado al pasado de Harry desata revelaciones.,https://www.penguinlibros.com/co/242734-home_default/harry-potter-y-el-prisionero-de-azkaban-harry-potter-3.jpg
"Harry Potter y el Cáliz de Fuego ",J.K. Rowling ,2000,Fantasía,Harry Potter y el Cáliz de Fuego – Torneo mágico pone a Harry en peligro y revive amenaza oscura.,https://cdn5.coppel.com/mkp/23211057-1.jpg
"Harry Potter y la orden del Fénix ",J.K. Rowling ,2003,Fantasía,Harry Potter y la Orden del Fénix – Rebelión estudiantil y guerra oculta mientras Voldemort recupera poder.,https://www.gonvill.com.mx/imagenes/9786073/978607319304.JPG
"Harry Potter y el Misterio del Príncipe",J.K. Rowling ,2005,Fantasía,Harry Potter y el Misterio del Príncipe – Secretos de Voldemort emergen mientras Harry descubre un libro peligroso.,"https://m.media-amazon.com/images/I/91XyNH557TL._AC_UF1000,1000_QL80_.jpg"
Harry Potter y las Reliquias de la Muerte,J.K. Rowling ,2007,Fantasía,Harry Potter y las Reliquias de la Muerte – Búsqueda final contra Voldemort decide el destino del mundo mágico.,https://www.elbazardelibro.com.mx/imagenes/9786073/978607319305.JPG
El Retrato de Dorian Gray ,Oscar Wilde ,1890,Ficción Gotica,El Retrato de Dorian Gray – Joven mantiene juventud mientras su retrato revela corrupción y decadencia.,https://acdn-us.mitiendanube.com/stores/002/388/399/products/whatsapp-image-2024-07-26-at-06-06-12-fda746eae9322518d917219966952519-640-0.jpeg
Frankenstein ,Mary Shelley ,1818,Ficción Gotica,Frankenstein – Científico crea vida y enfrenta las consecuencias de desafiar la naturaleza humana.,https://0.academia-photos.com/attachment_thumbnails/32900025/mini_magick20190408-24679-qqc71i.png?1554734541
La secta de los Ángeles ,Andrea Camilleri ,2019,Ficción Historica,"La secta de los Ángeles – Crimen misterioso revela cultos, secretos religiosos y corrupción en Sicilia.","https://m.media-amazon.com/images/I/71SR503S0-L._UF1000,1000_QL80_.jpg"
El Código Da Vinci ,Dan Brown,2003,Ficción Historica,El Código Da Vinci – Profesor descifra pistas secretas que desafían historia religiosa y sociedades ocultas.,https://librosentrealgodones.wordpress.com/wp-content/uploads/2018/09/el_codigo_davinci.jpg
Los Hornos de Hitler ,Olga Lengyel,1947,Historia,Los Hornos de Hitler – Relato estremecedor del horror vivido en campos de concentración nazis.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqYWKe1ApwTucL_CBjmRkTDtpY9-0pDMOF6w&s
El Código Nazi,Francisco Haghenbeck,2008,Historia,"El Código Nazi – Thriller histórico sobre conspiraciones, secretos militares y misterios del régimen nazi.",https://http2.mlstatic.com/D_Q_NP_600277-MLM44043632983_112020-O.webp
El Perfume,"Patrick Süskind",1985,Horror,El Perfume – Asesino obsesionado crea fragancias perfectas usando aromas humanos en la Francia antigua.,https://www.planetadelibros.com.mx/usuaris/libros/thumbs/e0e85401-222b-415f-ae3e-ba8e64fe9f5b/d_1200_1200/portada_el-perfume_patrick-suskind_201412120120.webp
Cartas de Amor a los Muertos,Ava Dellaira,2014,Juvenil,Cartas de Amor a los Muertos – Una chica enfrenta duelo escribiendo cartas a figuras fallecidas.,"https://m.media-amazon.com/images/I/71KK2rQvcmL._UF1000,1000_QL80_.jpg"
La Catedral del Mar ,Idelfonso Falcones,2006,Novela Histórica,La Catedral del Mar – Un siervo lucha por libertad mientras Barcelona construye su majestuosa catedral.,https://imagessl4.casadellibro.com/a/l/s5/44/9788499088044.webp
Sobre Grace,Anthony Doerr ,2004,Novela Mágica,Sobre Grace – Hombre con visiones del futuro lucha por salvar lo que ama.,https://images.cdn2.buscalibre.com/fit-in/360x360/f2/52/f2521613feb976bbf5dca182034cb779.jpg
El Baile de las Luciérnagas ,Kristin Hannah ,2017,Romance,"El Baile de las Luciérnagas – Amistad profunda entre dos mujeres marcada por amor, pérdidas y resiliencia.",https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/41/b6/f2/41b6f225-d458-63a9-f97f-b557083d8974/9788491295921.jpg/1200x900wf.jpg
Al Final Mueren los Dos,Adam Silvera,2017,Romance,Al Final Mueren los Dos – Dos desconocidos viven su último día buscando sentido y conexión.,https://m.media-amazon.com/images/I/818SMlbGApL.jpg
Encuéntrame ,Andre Aciman,2019,Romance,"Encuéntrame – Continuación emocional explora deseo, nostalgia y reencuentros marcados por el tiempo.","https://m.media-amazon.com/images/I/81e9kdMRXGL._AC_UF894,1000_QL80_.jpg"
